ID,Block,Mating Order,Vial,SD,Start_1,Mating start_1,Latency_1,Mating end_1,Duration_1,Remating,Start_2,Mating start_2,Latency_2,Mating end_2,Duration_2,Treatment progeny,GFP progeny
115,1,SD,1,5,00:03:08,00:37:13,00:34:05,00:52:55,00:15:42,Y,01:32:33,01:38:43,0:06:10,02:07:13,00:28:30,0,18
116,1,SD,1,5,00:08:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1,SD,1,5,00:12:44,01:30:30,01:17:46,01:48:27,00:17:57,Y,01:53:59,02:22:07,0:28:08,02:41:43,00:19:36,0,0
118,1,SD,1,5,00:18:09,01:56:30,01:38:21,02:25:24,00:28:54,Y,02:02:43,04:17:04,2:14:21,04:32:50,00:15:46,10,14
119,1,SD,1,5,00:23:06,02:05:30,01:42:24,02:28:27,00:22:57,Y,02:20:13,03:29:02,1:08:49,03:52:00,00:22:58,0,62
120,1,SD,1,5,00:25:02,02:12:24,01:47:22,02:37:43,00:25:19,N,02:20:13,NA,NA,NA,NA,NA,NA
121,1,LHM,1,5,00:35:56,00:42:07,00:06:11,01:05:30,00:23:23,N,00:04:55,NA,NA,NA,NA,NA,NA
122,1,LHM,1,5,00:42:45,01:06:08,00:23:23,01:38:44,00:32:36,N,00:12:52,NA,NA,NA,NA,NA,NA
123,1,LHM,1,5,00:51:48,01:52:55,01:01:07,02:11:19,00:18:24,Y,00:23:06,00:35:21,0:12:15,00:55:24,00:20:03,43,5
124,1,LHM,1,5,01:09:55,01:36:12,00:26:17,02:02:19,00:26:07,N,00:33:00,NA,NA,NA,NA,NA,NA
125,1,LHM,1,5,01:33:46,03:04:45,01:30:59,03:32:04,00:27:19,N,00:42:22,NA,NA,NA,NA,NA,NA
126,1,LHM,1,5,01:46:04,03:21:34,01:35:30,03:47:10,00:25:36,Y,00:53:00,03:29:02,2:36:02,03:43:04,00:14:02,21,14
127,1,LHM,1,5,01:57:58,02:14:34,00:16:36,02:37:00,00:22:26,N,01:02:56,NA,NA,NA,NA,NA,NA
128,1,LHM,1,5,01:57:58,02:27:58,00:30:00,02:35:07,00:07:09,Y,01:14:28,02:42:56,1:28:28,02:48:20,00:05:24,65,0
129,1,LHM,1,5,03:17:48,03:24:00,00:06:12,03:45:58,00:21:58,N,01:19:44,NA,NA,NA,NA,NA,NA
